name,azizsupermrkt,chittagong,dhaka,sylhet,banglabazar,ecommerce,id,reference,Price
ওনা আর উনো,0,0,0,0,0,0,15746,1.5746E+12,60
হাতে ঘড়ি চোখে চশমা,0,0,0,0,0,0,15747,1.5747E+12,60
বোলে বোলে বোলে রে বোলবিহান,0,0,0,0,0,0,15748,1.5748E+12,50
হরে-কর-কমবা,0,0,0,0,0,0,15750,1.575E+12,60
আমার ছেলেবেলা,0,0,0,0,0,0,15751,1.5751E+12,60
মিতানকে নিয়ে বাড়াবাড়ি,0,1,0,0,0,0,15753,1.5753E+12,70
তিনসুকিয়ার তিন পাহাড়ে,0,0,0,0,0,0,15754,1.5754E+12,60
সারাদুনিয়ার সেরা গল্প (দুই খন্ডের সেট),0,1,4,0,0,0,15801,1.5801E+12,1200
BD Map Journal (Line),0,0,0,0,0,0,34520,1.5801E+12,780
দুর্জয়- ১৩ : সর্বগ্রাসী,0,4,0,1,0,0,15842,1.5842E+12,135
ছন্ন ছড়া,0,1,0,0,0,0,15870,1.587E+12,120
ছড়ায় ছড়ায় ২,0,0,0,0,0,0,15871,1.5871E+12,90
ছড়ার ছবি,0,0,1,0,0,0,15873,1.5873E+12,60
ছড়ার ছবি : ৩,0,0,0,0,0,0,15875,1.5875E+12,60
আমার ছড়া,0,0,0,0,0,0,15881,1.5881E+12,100
নদী,0,0,0,0,0,0,15884,1.5884E+12,100
হীরামন,0,0,0,0,0,0,15891,1.5891E+12,80
নাশরাহর জন্য ছড়া,0,2,0,0,0,0,15898,1.5898E+12,80
মহাত্মা গান্ধী,0,0,1,1,0,0,15935,1.5935E+12,60
মুকুন্দদাস,0,0,2,0,0,0,15936,1.5936E+12,60
বিবেকানন্দ,0,0,3,0,0,0,15939,1.5939E+12,60
অগ্নিমাতা মাতঙ্গিনী,0,0,0,0,0,0,15940,1.594E+12,60
আম্বেদকর,0,0,2,0,0,0,15944,1.5944E+12,60
রবি-ছবি,0,8,0,0,0,0,15945,1.5945E+12,200
দেও : লৌকিক দেব-দেবীর অলৌকিক কথা,0,1,1,0,0,0,15979,1.5979E+12,500
রান্নাঘরের রূপকথা,0,0,0,0,0,0,15995,1.5995E+12,460
চুয়া চন্দন,0,0,0,0,0,0,15996,1.5996E+12,250
"My Music, My Life",0,1,0,0,0,0,58094,1601090056,4210
বাঙ্গালীর সার্কাস,0,1,0,2,0,0,16045,1.6045E+12,320
রিশাদ ট্রিলজি,0,0,0,0,0,0,16127,1.6127E+12,200
১৯৭১ যুদ্ধাহতের বয়ান,0,0,0,0,0,0,16133,1.6133E+12,250
Tiny jumps in,0,1,0,0,0,0,60512,1613BBC6564,350
Muslim Monuments Of Chittagong,0,8,0,0,0,0,16146,1.6146E+12,1080
এটা আমার!,0,0,0,2,0,0,16460,1.646E+12,120
শুনছেন স্বাধীন বাংলা বেতার কেন্দ্র ১৯৭১,0,0,0,0,0,0,16499,1.6499E+12,750
The Canterville Ghost and other stories,0,0,0,0,0,0,16587,1.6587E+12,190
মহাভারতের নরনারী,0,0,0,0,0,0,16615,1.6615E+12,500
নীহাররঞ্জন,0,1,0,0,0,0,16704,1.6704E+12,598
অচেনা আন্ডারওয়ার্ল্ড,0,2,1,3,0,0,16734,1.6734E+12,360
মিশরের রহস্যময়ী রানীরা,0,3,0,0,0,0,16790,1.679E+12,300
নর্স,0,0,0,0,0,0,16794,1.6794E+12,450
গ্রিস,0,1,0,0,0,0,16797,1.6797E+12,360
বিচিত্র মানবী,1,0,4,4,0,0,16798,1.6798E+12,340
বিবেকানন্দ ও সমকালীন ভারতবর্ষ (১ থেকে ৭ খণ্ডের সেট),0,0,0,0,0,0,16809,1.6809E+12,4900
জীবনযাপনের শিল্পকলা,0,2,1,0,0,0,16811,1.6811E+12,300
পুত্র পিতাকে,0,2,2,0,0,0,16812,1.6812E+12,400
সাক্ষী ছিলেন পূর্ণচন্দ্র,0,1,0,0,0,0,16813,1.6813E+12,300
প্রাচীন গ্রীস,0,4,0,0,0,0,16815,1.6815E+12,300
মহাভারত কালীপ্রসন্ন সিংহ অনূদিত (২খণ্ডের সেট),0,1,1,0,0,0,16907,1.6907E+12,4000
"Being the Boss, with a New Preface",0,0,0,0,0,0,16987,1.6987E+12,2500
Rumpelstiltskin,0,0,0,0,0,0,17003,1.7003E+12,110
মিথ পঞ্চদশ,0,0,3,2,0,0,17170,1.717E+12,570
বেদের দেবতা ও কৃষ্টিকাল,0,0,0,2,0,0,17171,1.7171E+12,570
পোয়ারোর সেরা তিন,0,6,1,0,0,0,17173,1.7173E+12,400
ঈশ্বরীর চোখে জল,0,0,0,0,0,0,17174,1.7174E+12,340
আবোল তাবোল,0,12,0,0,0,0,17269,1.7269E+12,140
ঝাড়খন্ডীর ডায়ারি,0,1,0,0,0,0,17304,1.7304E+12,320
আমি তোমাকে,0,1,0,0,0,0,17351,1.7351E+12,300
সিলেটি নাগরীলিপির সহজপাঠ,0,0,0,0,0,0,17356,1.7356E+12,200
পাঁচ-এ পঞ্চবাণ,0,1,0,0,0,0,17358,1.7358E+12,360
চীনযাত্রী,0,0,0,1,0,0,17376,1.7376E+12,100
হে মহাজীবন,0,4,2,1,0,0,17423,1.7423E+12,500
ফরাসি দেশের গল্প,0,0,0,1,0,0,17481,1.7481E+12,600
প্রতিবিম্ব ১৯৭৯-২০২০ (শঙ্খ ঘোষের লেখা),0,3,0,2,0,0,17492,1.7492E+12,500
সপ্তজননীর অমৃতকথা,0,0,1,0,0,0,17496,1.7496E+12,400
